SA dim,Runtime,Compute util,Pod util,P. Throughput (GFLOPS/S),E. Throughput (GFLOPS/S),MAC Power (mW),SRAM Power (mW),Offmem Power (mW),Power Consumption (mW),P.Throughput/Watt (TOPS/W),E.Throughput/Watt (TOPS/W),MAC Energy,SRAM Energy,DRAM Energy,Energy,Offmem
128,465377,2.75,100.0,32768,901.12,5929.83,468.95,782.09,7180.87,4.56,0.13,1.55,0.22,0.36,2.13,11665595
64,413165,3.1,59.37,32768,1015.81,3410.35,355.74,1166.53,4932.62,6.64,0.21,0.81,0.14,0.48,1.43,15447727
32,387533,3.3,34.78,32768,1081.34,1969.4,358.26,1843.69,4171.35,7.86,0.26,0.46,0.13,0.71,1.3,22900391
16,373827,3.42,22.6,32768,1120.67,1278.11,570.34,3082.18,4930.63,6.65,0.23,0.31,0.2,1.15,1.66,36929591
8,360009,3.56,16.93,32768,1166.54,971.57,998.96,5451.29,7421.81,4.42,0.16,0.24,0.34,1.96,2.54,62901023
4,341748,3.75,12.15,32768,1228.8,726.3,1751.5,9112.24,11590.05,2.83,0.11,0.18,0.57,3.11,3.86,99810589
128,799860,24.19,100.0,32768,7926.58,6341.92,1035.55,1536.58,8914.05,3.68,0.89,3.48,0.83,1.23,5.54,39392552
64,777298,24.89,98.3,32768,8155.96,6220.96,1135.99,2838.66,10195.62,3.21,0.8,3.35,0.86,2.21,6.42,70720676
32,762825,25.36,97.42,32768,8309.96,6168.34,1562.66,5542.64,13273.64,2.47,0.63,3.28,1.14,4.23,8.65,135514944
16,755850,25.59,94.33,32768,8385.33,6012.01,3121.32,11032.16,20165.49,1.62,0.42,3.19,2.25,8.34,13.78,267264776
8,738825,26.18,92.89,32768,8578.66,5980.13,6349.4,23515.52,35845.05,0.91,0.24,3.12,4.48,17.37,24.97,556854312
4,706581,27.38,89.03,32768,8971.88,5902.47,13147.57,52068.41,71118.45,0.46,0.13,2.99,8.87,36.79,48.65,1179184232
128,603586,31.0,100.0,32768,10158.08,5816.58,1131.83,2022.14,8970.54,3.65,1.13,2.61,0.68,1.22,4.51,39119656
64,578878,32.32,97.19,32768,10590.62,5579.76,1240.72,3641.9,10462.38,3.13,1.01,2.46,0.7,2.11,5.27,67570980
32,571969,32.71,95.77,32768,10718.41,5498.24,1701.18,6829.44,14028.86,2.34,0.76,2.42,0.93,3.91,7.26,125199552
16,565234,33.1,90.39,32768,10846.21,5234.86,3358.76,12741.47,21335.1,1.54,0.51,2.31,1.81,7.2,11.32,230830600
8,547521,34.18,87.75,32768,11200.1,5145.46,6842.48,25673.9,37661.83,0.87,0.3,2.24,3.58,14.06,19.88,450544776
4,512069,36.54,83.5,32768,11973.43,5070.26,14386.56,54009.1,73465.93,0.45,0.16,2.11,7.03,27.66,36.8,886422696
128,1786752,2.91,100.0,32768,953.55,4359.32,496.61,1572.13,6428.06,5.1,0.15,4.44,0.84,2.76,8.04,7502688
64,1735488,2.99,100.0,32768,979.76,4360.9,558.93,3220.31,8140.14,4.03,0.12,4.32,0.96,5.64,10.92,14927376
32,1712880,3.03,100.0,32768,992.87,4362.47,774.4,6508.58,11645.45,2.81,0.09,4.32,1.32,11.16,16.8,29776752
16,1681920,3.09,62.24,32768,1012.53,2773.94,1073.93,8496.6,12344.47,2.65,0.08,2.76,1.68,14.28,18.72,38169336
8,1576800,3.29,62.24,32768,1078.07,2783.73,2290.79,18105.95,23180.47,1.41,0.05,2.64,3.48,28.56,34.68,76253904
4,1470672,3.53,31.01,32768,1156.71,1479.86,2991.47,20710.8,25182.13,1.3,0.05,1.44,4.2,30.48,36.12,81353616
128,7570944,15.74,100.0,32768,5157.68,5001.84,761.18,1691.75,7454.76,4.4,0.69,25.2,5.76,12.72,43.68,17104896
64,7401984,16.1,100.0,32768,5275.65,5007.34,849.51,3387.81,9244.66,3.54,0.57,24.72,6.0,24.96,55.68,33488896
32,7308288,16.31,100.0,32768,5344.46,5017.57,1176.83,6788.62,12983.01,2.52,0.41,24.48,8.16,49.68,82.32,66256896
16,7120896,16.74,100.0,32768,5485.36,5038.8,2415.6,13858.72,21313.12,1.54,0.26,24.24,16.32,98.64,139.2,131792896
8,6746112,17.67,100.0,32768,5790.11,5084.41,5099.59,29177.29,39361.29,0.83,0.15,23.28,32.88,196.8,252.96,262864896
4,5996544,19.88,100.0,32768,6514.28,5193.73,11474.09,65558.87,82226.69,0.4,0.08,21.6,65.76,393.12,480.48,525008896
128,23392800,37.12,100.0,32768,12163.48,5923.54,1186.57,1810.11,8920.22,3.67,1.36,108.0,27.72,42.48,178.2,37699072
64,23288832,37.29,100.0,32768,12219.19,5931.4,1303.65,3485.74,10720.79,3.06,1.14,107.64,29.52,81.0,218.16,72274688
32,22889088,37.94,100.0,32768,12432.18,5946.34,1809.72,6939.97,14696.04,2.23,0.85,106.56,39.6,158.76,304.92,141425920
16,22587840,38.44,100.0,32768,12596.02,5977.01,3663.15,13909.74,23549.9,1.39,0.53,106.2,78.84,314.28,499.32,279728384
8,22161600,39.18,100.0,32768,12838.5,6002.18,7464.51,28196.23,41662.92,0.79,0.31,105.12,158.04,624.96,888.12,556333312
4,21333312,40.7,82.5,32768,13336.58,5220.4,14694.53,50784.25,70699.18,0.46,0.19,93.24,299.16,1083.24,1475.64,964562176
