Layer,M,N,K,
MH_get_Q_head0,10,64,768,
MH_get_K_head0,10,64,768,
MH_get_V_head0,10,64,768,
MH_QxKT_head0,10,10,64,
MH_QxKTxV_head0,10,64,10,
MH_get_Q_head1,10,64,768,
MH_get_K_head1,10,64,768,
MH_get_V_head1,10,64,768,
MH_QxKT_head1,10,10,64,
MH_QxKTxV_head1,10,64,10,
MH_get_Q_head2,10,64,768,
MH_get_K_head2,10,64,768,
MH_get_V_head2,10,64,768,
MH_QxKT_head2,10,10,64,
MH_QxKTxV_head2,10,64,10,
MH_get_Q_head3,10,64,768,
MH_get_K_head3,10,64,768,
MH_get_V_head3,10,64,768,
MH_QxKT_head3,10,10,64,
MH_QxKTxV_head3,10,64,10,
MH_get_Q_head4,10,64,768,
MH_get_K_head4,10,64,768,
MH_get_V_head4,10,64,768,
MH_QxKT_head4,10,10,64,
MH_QxKTxV_head4,10,64,10,
MH_get_Q_head5,10,64,768,
MH_get_K_head5,10,64,768,
MH_get_V_head5,10,64,768,
MH_QxKT_head5,10,10,64,
MH_QxKTxV_head5,10,64,10,
MH_get_Q_head6,10,64,768,
MH_get_K_head6,10,64,768,
MH_get_V_head6,10,64,768,
MH_QxKT_head6,10,10,64,
MH_QxKTxV_head6,10,64,10,
MH_get_Q_head7,10,64,768,
MH_get_K_head7,10,64,768,
MH_get_V_head7,10,64,768,
MH_QxKT_head7,10,10,64,
MH_QxKTxV_head7,10,64,10,
MH_get_Q_head8,10,64,768,
MH_get_K_head8,10,64,768,
MH_get_V_head8,10,64,768,
MH_QxKT_head8,10,10,64,
MH_QxKTxV_head8,10,64,10,
MH_get_Q_head9,10,64,768,
MH_get_K_head9,10,64,768,
MH_get_V_head9,10,64,768,
MH_QxKT_head9,10,10,64,
MH_QxKTxV_head9,10,64,10,
MH_get_Q_head10,10,64,768,
MH_get_K_head10,10,64,768,
MH_get_V_head10,10,64,768,
MH_QxKT_head10,10,10,64,
MH_QxKTxV_head10,10,64,10,
MH_get_Q_head11,10,64,768,
MH_get_K_head11,10,64,768,
MH_get_V_head11,10,64,768,
MH_QxKT_head11,10,10,64,
MH_QxKTxV_head11,10,64,10,
MH_Concat_Linear,10,768,768,
FF1,10,3072,768,
FF2,10,768,3072,
