Layer,M,N,K,
MH_get_Q_head0,0,64,1024,
MH_get_K_head0,0,64,1024,
MH_get_V_head0,0,64,1024,
MH_QxKT_head0,0,0,64,
MH_QxKTxV_head0,0,64,0,
MH_get_Q_head1,0,64,1024,
MH_get_K_head1,0,64,1024,
MH_get_V_head1,0,64,1024,
MH_QxKT_head1,0,0,64,
MH_QxKTxV_head1,0,64,0,
MH_get_Q_head2,0,64,1024,
MH_get_K_head2,0,64,1024,
MH_get_V_head2,0,64,1024,
MH_QxKT_head2,0,0,64,
MH_QxKTxV_head2,0,64,0,
MH_get_Q_head3,0,64,1024,
MH_get_K_head3,0,64,1024,
MH_get_V_head3,0,64,1024,
MH_QxKT_head3,0,0,64,
MH_QxKTxV_head3,0,64,0,
MH_get_Q_head4,0,64,1024,
MH_get_K_head4,0,64,1024,
MH_get_V_head4,0,64,1024,
MH_QxKT_head4,0,0,64,
MH_QxKTxV_head4,0,64,0,
MH_get_Q_head5,0,64,1024,
MH_get_K_head5,0,64,1024,
MH_get_V_head5,0,64,1024,
MH_QxKT_head5,0,0,64,
MH_QxKTxV_head5,0,64,0,
MH_get_Q_head6,0,64,1024,
MH_get_K_head6,0,64,1024,
MH_get_V_head6,0,64,1024,
MH_QxKT_head6,0,0,64,
MH_QxKTxV_head6,0,64,0,
MH_get_Q_head7,0,64,1024,
MH_get_K_head7,0,64,1024,
MH_get_V_head7,0,64,1024,
MH_QxKT_head7,0,0,64,
MH_QxKTxV_head7,0,64,0,
MH_get_Q_head8,0,64,1024,
MH_get_K_head8,0,64,1024,
MH_get_V_head8,0,64,1024,
MH_QxKT_head8,0,0,64,
MH_QxKTxV_head8,0,64,0,
MH_get_Q_head9,0,64,1024,
MH_get_K_head9,0,64,1024,
MH_get_V_head9,0,64,1024,
MH_QxKT_head9,0,0,64,
MH_QxKTxV_head9,0,64,0,
MH_get_Q_head10,0,64,1024,
MH_get_K_head10,0,64,1024,
MH_get_V_head10,0,64,1024,
MH_QxKT_head10,0,0,64,
MH_QxKTxV_head10,0,64,0,
MH_get_Q_head11,0,64,1024,
MH_get_K_head11,0,64,1024,
MH_get_V_head11,0,64,1024,
MH_QxKT_head11,0,0,64,
MH_QxKTxV_head11,0,64,0,
MH_get_Q_head12,0,64,1024,
MH_get_K_head12,0,64,1024,
MH_get_V_head12,0,64,1024,
MH_QxKT_head12,0,0,64,
MH_QxKTxV_head12,0,64,0,
MH_get_Q_head13,0,64,1024,
MH_get_K_head13,0,64,1024,
MH_get_V_head13,0,64,1024,
MH_QxKT_head13,0,0,64,
MH_QxKTxV_head13,0,64,0,
MH_get_Q_head14,0,64,1024,
MH_get_K_head14,0,64,1024,
MH_get_V_head14,0,64,1024,
MH_QxKT_head14,0,0,64,
MH_QxKTxV_head14,0,64,0,
MH_get_Q_head15,0,64,1024,
MH_get_K_head15,0,64,1024,
MH_get_V_head15,0,64,1024,
MH_QxKT_head15,0,0,64,
MH_QxKTxV_head15,0,64,0,
MH_Concat_Linear,0,1024,1024,
FF1,0,4096,1024,
FF2,0,1024,4096,
