Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,
1_conv3x3,224,224,3,3,32,16,2,
2_MBConv1_3x3, 112, 112, 1, 1, 16, 16, 1,
2_MBConv1_3x3, 112, 112, 3, 3, 16, 1, 1,
2_MBConv1_3x3, 112, 112, 1, 1, 16, 24, 1,
3_1_MBConv6_3x3, 112, 112, 1, 1, 24, 144, 1,
3_1_MBConv6_3x3, 112, 112, 3, 3, 144, 1, 2,
3_1_MBConv6_3x3, 56, 56, 1, 1, 144, 24, 1,
3_2_MBConv6_3x3, 56, 56, 1, 1, 24, 144, 1,
3_2_MBConv6_3x3, 56, 56, 3, 3, 144, 1, 1,
3_2_MBConv6_3x3, 56, 56, 1, 1, 144, 40, 1,
4_1_MBConv6_5x5, 56, 56, 1, 1, 40, 240, 1,
4_1_MBConv6_5x5, 56, 56, 5, 5, 240, 1, 2,
4_1_MBConv6_5x5, 28, 28, 1, 1, 240, 40, 1,
4_2_MBConv6_5x5, 28, 28, 1, 1, 40, 240, 1,
4_2_MBConv6_5x5, 28, 28, 5, 5, 240, 1, 1,
4_2_MBConv6_5x5, 28, 28, 1, 1, 240, 80, 1,
5_1_MBConv6_3x3, 28, 28, 1, 1, 80, 480, 1,
5_1_MBConv6_3x3, 28, 28, 3, 3, 480, 1, 2,
5_1_MBConv6_3x3, 14, 14, 1, 1, 480, 80, 1,
5_2_MBConv6_3x3, 14, 14, 1, 1, 80, 480, 1,
5_2_MBConv6_3x3, 14, 14, 3, 3, 480, 1, 1,
5_2_MBConv6_3x3, 14, 14, 1, 1, 480, 80, 1,
5_3_MBConv6_3x3, 14, 14, 1, 1, 80, 480, 1,
5_3_MBConv6_3x3, 14, 14, 3, 3, 480, 1, 1,
5_3_MBConv6_3x3, 14, 14, 1, 1, 480, 112, 1,
6_1_MBConv6_5x5, 14, 14, 1, 1, 112, 672, 1,
6_1_MBConv6_5x5, 14, 14, 5, 5, 672, 1, 1,
6_1_MBConv6_5x5, 14, 14, 1, 1, 672, 112, 1,
6_2_MBConv6_5x5, 14, 14, 1, 1, 112, 672, 1,
6_2_MBConv6_5x5, 14, 14, 5, 5, 672, 1, 1,
6_2_MBConv6_5x5, 14, 14, 1, 1, 672, 112, 1,
6_3_MBConv6_5x5, 14, 14, 1, 1, 112, 672, 1,
6_3_MBConv6_5x5, 14, 14, 5, 5, 672, 1, 1,
6_3_MBConv6_5x5, 14, 14, 1, 1, 672, 192, 1,
7_1_MBConv6_5x5, 14, 14, 1, 1, 192, 1152, 1,
7_1_MBConv6_5x5, 14, 14, 5, 5, 1152, 1, 2,
7_1_MBConv6_5x5, 7, 7, 1, 1, 1152, 192, 1,
7_2_MBConv6_5x5, 7, 7, 1, 1, 192, 1152, 1,
7_2_MBConv6_5x5, 7, 7, 5, 5, 1152, 1, 1,
7_2_MBConv6_5x5, 7, 7, 1, 1, 1152, 192, 1,
7_3_MBConv6_5x5, 7, 7, 1, 1, 192, 1152, 1,
7_3_MBConv6_5x5, 7, 7, 5, 5, 1152, 1, 1,
7_3_MBConv6_5x5, 7, 7, 1, 1, 1152, 192, 1,
7_4_MBConv6_5x5, 7, 7, 1, 1, 192, 1152, 1,
7_4_MBConv6_5x5, 7, 7, 5, 5, 1152, 1, 1,
7_4_MBConv6_5x5, 7, 7, 1, 1, 1152, 320, 1,
8_MBConv6_3x3, 7, 7, 1, 1, 320, 1920, 1,
8_MBConv6_3x3, 7, 7, 3, 3, 1920, 1, 1,
8_MBConv6_3x3, 7, 7, 1, 1, 1920, 320, 1,
9_conv2d, 7, 7, 1, 1, 320, 1280, 1,
9_fc, 1, 1, 1, 1, 1280, 1000, 1,
