Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,
conv1,224,224,7,7,3,24,2,
conv3x3,112,112,3,3,24,24,1,
Mix3_3x3,112,112,3,3,16,16,2,
Mix3_5x5,112,112,5,5,8,8,2,
Mix3_7x7,112,112,7,7,8,8,2,
conv3x3,56,56,3,3,32,32,1,
Mix5_3x3,56,56,3,3,10,10,2,
Mix5_5x5,56,56,5,5,10,10,2,
Mix5_7x7,56,56,7,7,10,10,2,
Mix5_9x9,56,56,9,9,10,10,2,
Mix6_3x3,28,28,3,3,20,20,1,
Mix6_5x5,28,28,5,5,20,20,1,
Mix7_3x3,28,28,3,3,20,20,1,
Mix7_5x5,28,28,5,5,20,20,1,
Mix8_3x3,28,28,3,3,20,20,1,
Mix8_5x5,28,28,5,5,20,20,1,
Mix9_3x3,28,28,3,3,32,32,1,
Mix9_5x5,28,28,5,5,32,32,1,
Mix9_7x7,28,28,7,7,16,16,1,
Mix10_3x3,28,28,3,3,20,20,1,
Mix10_5x5,28,28,5,5,20,20,1,
Mix10_7x7,28,28,7,7,20,20,1,
Mix10_9x9,28,28,9,9,20,20,1,
Mix11_3x3,28,28,3,3,20,20,1,
Mix11_5x5,28,28,5,5,20,20,1,
Mix11_7x7,28,28,7,7,20,20,1,
Mix11_9x9,28,28,9,9,20,20,1,
Mix12_3x3,28,28,3,3,20,20,1,
Mix12_5x5,28,28,5,5,20,20,1,
Mix12_7x7,28,28,7,7,20,20,1,
Mix12_9x9,28,28,9,9,20,20,1,
conv3x3,28,28,3,3,80,120,2,
Mix14_3x3,14,14,3,3,30,30,1,
Mix14_5x5,14,14,5,5,30,30,1,
Mix14_7x7,14,14,7,7,30,30,1,
Mix14_9x9,14,14,9,9,30,30,1,
Mix15_3x3,14,14,3,3,30,30,1,
Mix15_5x5,14,14,5,5,30,30,1,
Mix15_7x7,14,14,7,7,30,30,1,
Mix15_9x9,14,14,9,9,30,30,1,
Mix16_3x3,14,14,3,3,30,30,1,
Mix16_5x5,14,14,5,5,30,30,1,
Mix16_7x7,14,14,7,7,30,30,1,
Mix16_9x9,14,14,9,9,30,30,1,
Mix17_3x3,14,14,3,3,50,50,2,
Mix17_5x5,14,14,5,5,50,50,2,
Mix17_7x7,14,14,7,7,50,50,2,
Mix17_9x9,14,14,9,9,50,50,2,
Mix18_3x3,7,7,3,3,50,50,1,
Mix18_5x5,7,7,5,5,50,50,1,
Mix18_7x7,7,7,7,7,50,50,1,
Mix18_9x9,7,7,9,9,50,50,1,
Mix19_3x3,7,7,3,3,50,50,1,
Mix19_5x5,7,7,5,5,50,50,1,
Mix19_7x7,7,7,7,7,50,50,1,
Mix19_9x9,7,7,9,9,50,50,1,
Mix20_3x3,7,7,3,3,50,50,1,
Mix20_5x5,7,7,5,5,50,50,1,
Mix20_7x7,7,7,7,7,50,50,1,
Mix20_9x9,7,7,9,9,50,50,1,
