Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,
conv1,256,256,3,3,3,32,1,
conv2,256,256,3,3,32,64,2,
layer1_32_1,128,128,1,1,64,32,1,
layer1_64_1,128,128,3,3,32,64,1,
conv3,128,128,3,3,64,128,2,
layer2_64_1,64,64,1,1,128,64,1,
layer2_128_1,64,64,3,3,64,128,1,
layer2_64_2,64,64,1,1,128,64,1,
layer2_128_2,64,64,3,3,64,128,1,
conv4,64,64,3,3,128,256,2,
layer3_128_1,32,32,1,1,256,128,1,
layer3_256_1,32,32,3,3,128,256,1,
layer3_128_2,32,32,1,1,256,128,1,
layer3_256_2,32,32,3,3,128,256,1,
layer3_128_3,32,32,1,1,256,128,1,
layer3_256_3,32,32,3,3,128,256,1,
layer3_128_4,32,32,1,1,256,128,1,
layer3_256_4,32,32,3,3,128,256,1,
layer3_128_5,32,32,1,1,256,128,1,
layer3_256_5,32,32,3,3,128,256,1,
layer3_128_6,32,32,1,1,256,128,1,
layer3_256_6,32,32,3,3,128,256,1,
layer3_128_7,32,32,1,1,256,128,1,
layer3_256_7,32,32,3,3,128,256,1,
layer3_128_8,32,32,1,1,256,128,1,
layer3_256_8,32,32,3,3,128,256,1,
conv5,32,32,3,3,256,512,2,
layer4_256_1,16,16,1,1,512,256,1,
layer4_512_1,16,16,3,3,256,512,1,
layer4_256_2,16,16,1,1,512,256,1,
layer4_512_2,16,16,3,3,256,512,1,
layer4_256_3,16,16,1,1,512,256,1,
layer4_512_3,16,16,3,3,256,512,1,
layer4_256_4,16,16,1,1,512,256,1,
layer4_512_4,16,16,3,3,256,512,1,
layer4_256_5,16,16,1,1,512,256,1,
layer4_512_5,16,16,3,3,256,512,1,
layer4_256_6,16,16,1,1,512,256,1,
layer4_512_6,16,16,3,3,256,512,1,
layer4_256_7,16,16,1,1,512,256,1,
layer4_512_7,16,16,3,3,256,512,1,
layer4_256_8,16,16,1,1,512,256,1,
layer4_512_8,16,16,3,3,256,512,1,
conv6,16,16,3,3,512,1024,2,
layer5_512_1,8,8,1,1,1024,512,1,
layer5_1024_1,8,8,3,3,512,1024,1,
layer5_512_2,8,8,1,1,1024,512,1,
layer5_1024_2,8,8,3,3,512,1024,1,
layer5_512_3,8,8,1,1,1024,512,1,
layer5_1024_3,8,8,3,3,512,1024,1,
layer5_512_4,8,8,1,1,1024,512,1,
layer5_1024_4,8,8,3,3,512,1024,1,
fc1000,1,1,1,1,1024,1000,1,
