Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  224, 224,    3, 3,      3,      16,     2,
112_16_1, 112, 112, 1, 1, 16, 16, 1,
112_16_1, 112, 112, 3, 3, 16, 1, 1,
112_16_1, 112, 112, 1, 1, 16, 16, 1,
112_16_2, 112, 112, 1, 1, 16, 64, 1,
112_16_2, 112, 112, 3, 3, 64, 1, 2,
112_16_2, 56, 56, 1, 1, 64, 24, 1,
56_24_1, 56, 56, 1, 1, 24, 72, 1,
56_24_1, 56, 56, 3, 3, 72, 1, 1,
56_24_1, 28, 28, 1, 1, 72, 24, 1,
56_24_2, 56, 56, 1, 1, 24, 72, 1,
56_24_2, 56, 56, 5, 5, 72, 1, 2,
56_24_2, 28, 28, 1, 1, 72, 40, 1,
28_40_1, 28, 28, 1, 1, 40, 120, 1,
28_40_1, 28, 28, 5, 5, 120, 1, 1,
28_40_1, 28, 28, 1, 1, 120, 40, 1,
28_40_2, 28, 28, 1, 1, 40, 120, 1,
28_40_2, 28, 28, 5, 5, 120, 1, 1,
28_40_2, 28, 28, 1, 1, 120, 40, 1,
28_40_3, 28, 28, 1, 1, 40, 240, 1,
28_40_3, 28, 28, 3, 3, 240, 1, 2,
28_40_3, 14, 14, 1, 1, 240, 80, 1,
14_80_1, 14, 14, 1, 1, 80, 200, 1,
14_80_1, 14, 14, 3, 3, 200, 1, 1,
14_80_1, 14, 14, 1, 1, 200, 80, 1,
14_80_2, 14, 14, 1, 1, 80, 184, 1,
14_80_2, 14, 14, 3, 3, 184, 1, 1,
14_80_2, 14, 14, 1, 1, 184, 80, 1,
14_80_3, 14, 14, 1, 1, 80, 184, 1,
14_80_3, 14, 14, 3, 3, 184, 1, 1,
14_80_3, 14, 14, 1, 1, 184, 80, 1,
14_80_4, 14, 14, 1, 1, 80, 480, 1,
14_80_4, 14, 14, 3, 3, 480, 1, 1,
14_80_4, 14, 14, 1, 1, 480, 112, 1,
14_112_1, 14, 14, 1, 1, 112, 672, 1,
14_112_1, 14, 14, 3, 3, 672, 1, 1,
14_112_1, 14, 14, 1, 1, 672, 112, 1,
14_112_2, 14, 14, 1, 1, 112, 672, 1,
14_112_2, 14, 14, 5, 5, 672, 1, 2,
14_112_2, 7, 7, 1, 1, 672, 160, 1,
7_160_1, 7, 7, 1, 1, 160, 960, 1,
7_160_1, 7, 7, 5, 5, 960, 1, 1,
7_160_1, 7, 7, 1, 1, 960, 160, 1,
7_160_2, 7, 7, 1, 1, 160, 960, 1,
7_160_2, 7, 7, 5, 5, 960, 1, 1,
7_160_2, 7, 7, 1, 1, 960, 160, 1,
7_160_conv2d, 7, 7, 1, 1, 160, 960, 1,
1_160_conv2d, 1, 1, 1, 1, 960, 1280, 1,
1_1280_conv2d, 1, 1, 1, 1, 1280, 1000, 1,
