Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,
conv4_1_1,29,29,1,1,512,256,2,
conv4_1_2,14,14,3,3,256,256,1,
conv4_1_3,14,14,1,1,256,1024,1,
conv4_2_1,14,14,1,1,1024,256,1,
conv4_2_2,14,14,3,3,256,256,1,
conv4_2_3,14,14,1,1,256,1024,1,
conv4_3_1,14,14,1,1,1024,256,1,
conv4_3_2,14,14,3,3,256,256,1,
conv4_3_3,14,14,1,1,256,1024,1,
conv4_4_1,14,14,1,1,1024,256,1,
conv4_4_2,14,14,3,3,256,256,1,
conv4_4_3,14,14,1,1,256,1024,1,
conv4_5_1,14,14,1,1,1024,256,1,
conv4_5_2,14,14,3,3,256,256,1,
conv4_5_3,14,14,1,1,256,1024,1,
conv4_6_1,14,14,1,1,1024,256,1,
conv4_6_2,14,14,3,3,256,256,1,
conv4_6_3,14,14,1,1,256,1024,1,
conv4_7_1,14,14,1,1,1024,256,1,
conv4_7_2,14,14,3,3,256,256,1,
conv4_7_3,14,14,1,1,256,1024,1,
conv4_8_1,14,14,1,1,1024,256,1,
conv4_8_2,14,14,3,3,256,256,1,
conv4_8_3,14,14,1,1,256,1024,1,
conv4_9_1,14,14,1,1,1024,256,1,
conv4_9_2,14,14,3,3,256,256,1,
conv4_9_3,14,14,1,1,256,1024,1,
conv4_10_1,14,14,1,1,1024,256,1,
conv4_10_2,14,14,3,3,256,256,1,
conv4_10_3,14,14,1,1,256,1024,1,
conv4_11_1,14,14,1,1,1024,256,1,
conv4_11_2,14,14,3,3,256,256,1,
conv4_11_3,14,14,1,1,256,1024,1,
conv4_12_1,14,14,1,1,1024,256,1,
conv4_12_2,14,14,3,3,256,256,1,
conv4_12_3,14,14,1,1,256,1024,1,
conv4_13_1,14,14,1,1,1024,256,1,
conv4_13_2,14,14,3,3,256,256,1,
conv4_13_3,14,14,1,1,256,1024,1,
conv4_14_1,14,14,1,1,1024,256,1,
conv4_14_2,14,14,3,3,256,256,1,
conv4_14_3,14,14,1,1,256,1024,1,
conv4_15_1,14,14,1,1,1024,256,1,
conv4_15_2,14,14,3,3,256,256,1,
conv4_15_3,14,14,1,1,256,1024,1,
conv4_16_1,14,14,1,1,1024,256,1,
conv4_16_2,14,14,3,3,256,256,1,
conv4_16_3,14,14,1,1,256,1024,1,
conv4_17_1,14,14,1,1,1024,256,1,
conv4_17_2,14,14,3,3,256,256,1,
conv4_17_3,14,14,1,1,256,1024,1,
conv4_18_1,14,14,1,1,1024,256,1,
conv4_18_2,14,14,3,3,256,256,1,
conv4_18_3,14,14,1,1,256,1024,1,
conv4_19_1,14,14,1,1,1024,256,1,
conv4_19_2,14,14,3,3,256,256,1,
conv4_19_3,14,14,1,1,256,1024,1,
conv4_20_1,14,14,1,1,1024,256,1,
conv4_20_2,14,14,3,3,256,256,1,
conv4_20_3,14,14,1,1,256,1024,1,
conv4_21_1,14,14,1,1,1024,256,1,
conv4_21_2,14,14,3,3,256,256,1,
conv4_21_3,14,14,1,1,256,1024,1,
conv4_22_1,14,14,1,1,1024,256,1,
conv4_22_2,14,14,3,3,256,256,1,
conv4_22_3,14,14,1,1,256,1024,1,
conv4_23_1,14,14,1,1,1024,256,1,
conv4_23_2,14,14,3,3,256,256,1,
conv4_23_3,14,14,1,1,256,1024,1,
conv4_24_1,14,14,1,1,1024,256,1,
conv4_24_2,14,14,3,3,256,256,1,
conv4_24_3,14,14,1,1,256,1024,1,
conv4_25_1,14,14,1,1,1024,256,1,
conv4_25_2,14,14,3,3,256,256,1,
conv4_25_3,14,14,1,1,256,1024,1,
conv4_26_1,14,14,1,1,1024,256,1,
conv4_26_2,14,14,3,3,256,256,1,
conv4_26_3,14,14,1,1,256,1024,1,
conv4_27_1,14,14,1,1,1024,256,1,
conv4_27_2,14,14,3,3,256,256,1,
conv4_27_3,14,14,1,1,256,1024,1,
conv4_28_1,14,14,1,1,1024,256,1,
conv4_28_2,14,14,3,3,256,256,1,
conv4_28_3,14,14,1,1,256,1024,1,
conv4_29_1,14,14,1,1,1024,256,1,
conv4_29_2,14,14,3,3,256,256,1,
conv4_29_3,14,14,1,1,256,1024,1,
conv4_30_1,14,14,1,1,1024,256,1,
conv4_30_2,14,14,3,3,256,256,1,
conv4_30_3,14,14,1,1,256,1024,1,
conv4_31_1,14,14,1,1,1024,256,1,
conv4_31_2,14,14,3,3,256,256,1,
conv4_31_3,14,14,1,1,256,1024,1,
conv4_32_1,14,14,1,1,1024,256,1,
conv4_32_2,14,14,3,3,256,256,1,
conv4_32_3,14,14,1,1,256,1024,1,
conv4_33_1,14,14,1,1,1024,256,1,
conv4_33_2,14,14,3,3,256,256,1,
conv4_33_3,14,14,1,1,256,1024,1,
conv4_34_1,14,14,1,1,1024,256,1,
conv4_34_2,14,14,3,3,256,256,1,
conv4_34_3,14,14,1,1,256,1024,1,
conv4_35_1,14,14,1,1,1024,256,1,
conv4_35_2,14,14,3,3,256,256,1,
conv4_35_3,14,14,1,1,256,1024,1,
conv4_36_1,14,14,1,1,1024,256,1,
conv4_36_2,14,14,3,3,256,256,1,
conv4_36_3,14,14,1,1,256,1024,1,
conv5_1_1,14,14,1,1,1024,512,2,
conv5_1_2,7,7,3,3,512,512,1,
conv5_1_3,7,7,1,1,512,2048,1,
conv5_2_1,7,7,1,1,2048,512,1,
conv5_2_2,7,7,3,3,512,512,1,
conv5_2_3,7,7,1,1,512,2048,1,
conv5_3_1,7,7,1,1,2048,512,1,
conv5_3_2,7,7,3,3,512,512,1,
conv5_3_3,7,7,1,1,512,2048,1,
fc1000,1,1,1,1,2048,1000,1,
